"data","iter","CBA","RIPPER","SBRL"
"CAR",1,0.0916941165924072,0.0564289093017578,NA
"CAR",2,0.0890138149261475,0.0317819118499756,NA
"CAR",3,0.0751769542694092,0.0408849716186523,NA
"CAR",4,0.0772469043731689,0.0375339984893799,NA
"CAR",5,0.0808398723602295,0.0585229396820068,NA
"CAR",6,0.0752520561218262,0.0759389400482178,NA
"CAR",7,0.0746359825134277,0.0929760932922363,NA
"CAR",8,0.0893328189849854,0.0718040466308594,NA
"CAR",9,0.0766189098358154,0.07297682762146,NA
"CAR",10,0.0930411815643311,0.0543768405914307,NA
