"data","iter","CBA","RIPPER","SBRL"
"haberman",1,0.0725400447845459,0.0232870578765869,0.555572986602783
"haberman",2,0.0685529708862305,0.0125939846038818,0.540722846984863
"haberman",3,0.0754430294036865,0.0122330188751221,0.553293943405151
"haberman",4,0.070483922958374,0.0123870372772217,0.555234909057617
"haberman",5,0.0781910419464111,0.0115511417388916,0.562299966812134
"haberman",6,0.0755510330200195,0.0118138790130615,0.544881105422974
"haberman",7,0.0686280727386475,0.0119099617004395,0.558467149734497
"haberman",8,0.0748920440673828,0.0125319957733154,0.550319910049438
"haberman",9,0.0789828300476074,0.0133059024810791,0.555737972259521
"haberman",10,0.0755879878997803,0.0119621753692627,0.547830104827881
