"data","iter","CBA","RIPPER","SBRL"
"derma",1,3.2888388633728,0.0611569881439209,NA
"derma",2,3.47325301170349,0.0608808994293213,NA
"derma",3,3.46954393386841,0.0629918575286865,NA
"derma",4,3.69055104255676,0.0653841495513916,NA
"derma",5,3.91225790977478,0.0617959499359131,NA
"derma",6,3.32496500015259,0.0635027885437012,NA
"derma",7,4.15957903862,0.0631499290466309,NA
"derma",8,3.23342394828796,0.060870885848999,NA
"derma",9,3.78844404220581,0.0623569488525391,NA
"derma",10,3.62190890312195,0.0609159469604492,NA
