"data","iter","CBA","RIPPER","SBRL"
"newthyroid",1,0.137985229492188,0.0162320137023926,NA
"newthyroid",2,0.131562948226929,0.0166068077087402,NA
"newthyroid",3,0.122164011001587,0.0149331092834473,NA
"newthyroid",4,0.0934228897094727,0.015388011932373,NA
"newthyroid",5,0.0883481502532959,0.0155718326568604,NA
"newthyroid",6,0.124337196350098,0.0152678489685059,NA
"newthyroid",7,0.103917121887207,0.0148210525512695,NA
"newthyroid",8,0.115677118301392,0.0149791240692139,NA
"newthyroid",9,0.125093936920166,0.0148348808288574,NA
"newthyroid",10,0.128204822540283,0.015347957611084,NA
