"data","iter","CBA","RIPPER","SBRL"
"mammographic",1,0.123817205429077,0.0187301635742188,0.770204067230225
"mammographic",2,0.155607938766479,0.0189690589904785,0.880302906036377
"mammographic",3,0.143180131912231,0.0175929069519043,0.825116872787476
"mammographic",4,0.218690156936646,0.0185339450836182,0.773210048675537
"mammographic",5,0.141081094741821,0.0168859958648682,0.873174905776978
"mammographic",6,0.138366937637329,0.0166451930999756,0.826889038085938
"mammographic",7,0.147203922271729,0.0181939601898193,0.839241027832031
"mammographic",8,0.135297060012817,0.0173649787902832,0.826486825942993
"mammographic",9,0.146208047866821,0.0163788795471191,0.817985773086548
"mammographic",10,0.12065601348877,0.0173690319061279,0.892189025878906
