"data","iter","CBA","RIPPER","SBRL"
"Appendicitis",1,0.140688896179199,0.0166590213775635,0.559387922286987
"Appendicitis",2,0.104084968566895,0.0289349555969238,0.530274868011475
"Appendicitis",3,0.107362031936646,0.0184500217437744,0.53120493888855
"Appendicitis",4,0.106657981872559,0.0172560214996338,0.522796869277954
"Appendicitis",5,0.108102083206177,0.0178680419921875,0.539984941482544
"Appendicitis",6,0.10052490234375,0.0186619758605957,0.521437883377075
"Appendicitis",7,0.0972781181335449,0.0172569751739502,0.522392988204956
"Appendicitis",8,0.112980127334595,0.0180189609527588,0.535691022872925
"Appendicitis",9,0.110615968704224,0.017833948135376,0.544080018997192
"Appendicitis",10,0.0936529636383057,0.0293760299682617,0.549224853515625
