"data","iter","CBA","RIPPER","SBRL"
"banana",1,0.0754718780517578,0.0565600395202637,NA
"banana",2,0.0764110088348389,0.0626599788665771,NA
"banana",3,0.0912599563598633,0.0487380027770996,NA
"banana",4,0.0733540058135986,0.0557098388671875,NA
"banana",5,0.0774879455566406,0.0561790466308594,NA
"banana",6,0.0755438804626465,0.0474529266357422,NA
"banana",7,0.0753672122955322,0.0467300415039062,NA
"banana",8,0.0754580497741699,0.0464119911193848,NA
"banana",9,0.0883688926696777,0.048306941986084,NA
"banana",10,0.0839159488677979,0.0541138648986816,NA
