"data","iter","CBA","RIPPER","SBRL"
"indian",1,0.184854030609131,0.0239450931549072,0.920841932296753
"indian",2,0.166671991348267,0.0214109420776367,0.874228000640869
"indian",3,0.180519104003906,0.0378360748291016,0.886402130126953
"indian",4,0.14702582359314,0.0232319831848145,0.860736846923828
"indian",5,0.205841064453125,0.0206668376922607,0.895337820053101
"indian",6,0.202081918716431,0.024216890335083,0.89019513130188
"indian",7,0.169828176498413,0.0224320888519287,0.882538080215454
"indian",8,0.153828144073486,0.0218689441680908,0.868102073669434
"indian",9,0.21715784072876,0.0239300727844238,0.871064901351929
"indian",10,0.179960012435913,0.0210230350494385,0.886421918869019
