"data","iter","CBA","RIPPER","SBRL"
"Iris",1,0.0785319805145264,0.0129458904266357,NA
"Iris",2,0.0863327980041504,0.0135619640350342,NA
"Iris",3,0.0886771678924561,0.0130429267883301,NA
"Iris",4,0.092656135559082,0.0144939422607422,NA
"Iris",5,0.103952884674072,0.0129499435424805,NA
"Iris",6,0.079927921295166,0.0135297775268555,NA
"Iris",7,0.0825181007385254,0.0143330097198486,NA
"Iris",8,0.0806849002838135,0.013312816619873,NA
"Iris",9,0.0840659141540527,0.0131180286407471,NA
"Iris",10,0.0845940113067627,0.0132260322570801,NA
